domain,subcategory,resource_name,url,source_type,reference_role,coverage,license_or_access,status,usage_notes,copying_constraints,verified_date
business-market,business-report-notation,ISO 24896 - Notation for business reporting,https://www.iso.org/standard/88366.html,L1 normative-baseline,final compliance baseline,"Edition 1; 2026-06; semantic notation for business reports, presentations and dashboards",paid ISO standard metadata page; under publication at verification time,verified-metadata,"Use as final baseline for business-report notation once published; status was Stage 60.00 under publication on verification date.","Do not copy ISO text or figures without licensed access; screenshots require authorized PDF plus page/figure metadata.",2026-06-02
business-market,business-report-notation,IBCS Standards,https://www.ibcs.com/IBCS/,L2 official-guidance,design rules and examples,"SUCCESS rules; chart layout, labels, scenarios, variances and business reporting notation",web guidance; membership/license terms to verify,license-pending,"Use to derive business chart rules under ISO 24896 direction; cannot override ISO 24896 formal definitions.","Do not bulk-copy standards pages or images until IBCS license/terms are confirmed.",2026-06-02
business-market,business-report-templates,IBCS Templates,https://www.ibcs.com/resource/templates/,L2 official-guidance,template reference,"business-report templates and notation examples",web guidance; access terms to verify,license-pending,"Candidate source for report layout references and template structure.","Only link or manually inspect until download/copy terms are confirmed.",2026-06-02
business-market,business-report-examples,IBCS Examples,https://www.ibcs.com/resource/examples/,L2 official-guidance,example reference,"business chart and reporting examples",web guidance; access terms to verify,license-pending,"Candidate source for business chart example pages; record specific case page before screenshot.","Do not copy example images until license and attribution requirements are checked.",2026-06-02
business-market,business-report-work-samples,IBCS Consultant Work Samples,https://www.ibcs.com/consultants/,L2 official-guidance,professional work sample discovery,"consultant examples and work samples related to IBCS notation",web page; mixed consultant-owned content,license-pending,"Use only to discover professional examples; evaluate each consultant sample separately.","No copying without explicit page-level permission and attribution.",2026-06-02
business-market,data-visualization-best-practice,Royal Statistical Society - Best Practices for Data Visualisation,https://royal-statistical-society.github.io/datavisguide/,L2 official-guidance,design-rule source,"RSS data visualisation guide; web guide plus PDF download; charts, accessibility, uncertainty and publishing guidance",copyright 2024 RSS/authors; public web/PDF,reference-only,"Good source for statistical chart design rules in papers and reports; use citations and paraphrase rules.","Do not bulk-copy PDF figures; if screenshotting, record PDF page/figure/title and confirm permission.",2026-06-02
business-market,organization-style-guide,Urban Institute Data Visualization Style Guide,https://urbaninstitute.github.io/graphics-styleguide/,L2 official-guidance,style-guide example,"Urban chart styling, graph templates and publishing guidance",code GPLv3 per GitHub; content copyright/terms require page check,license-pending,"Good institutional style guide example; use for style-guide structure and accessible chart conventions.","Do not copy chart images until content license is confirmed; code assets follow GPLv3 if reused.",2026-06-02
business-market,chart-type-catalogue,The Data Visualisation Catalogue,https://datavizcatalogue.com/,L3 case-gallery,chart-type and few-shot reference,"chart type catalogue with individual case pages for bar, line, box plot, Sankey, heatmap, etc.",website copyright/terms not verified,license-pending,"Use specific chart pages for case discovery and chart selection; not a standard source.","Record case page URL, not homepage; do not copy icons/images until license terms are verified.",2026-06-02
business-market,chart-selection,Financial Times Visual Vocabulary,https://github.com/Financial-Times/chart-doctor/tree/main/visual-vocabulary,L3 case-gallery,chart-selection taxonomy,"chart chooser and visual vocabulary for change, ranking, distribution, relationship and composition",GitHub license to verify before reuse,license-pending,"Useful for few-shot market/competitor chart selection examples.","Verify repository LICENSE before copying images or templates.",2026-06-02
business-market,style-guide-index,PolicyViz Style Guides,https://policyviz.com/2016/11/30/style-guides/,L4 discovery-index,resource discovery,"curated list of data visualization style guides and related resources",blog/index; mixed third-party links,verified-index,"Use only to discover candidate L2/L3 resources.","Do not copy linked resources from index without checking original source license.",2026-06-02
business-market,style-guide-index,Data Visualization Style Guidelines,https://www.datavizstyleguide.com/,L4 discovery-index,resource discovery,"index and checklist for data visualization style guide examples, tools and articles",web index; terms not verified,verified-index,"Use to discover style guide examples and checklists.","Do not copy gallery images or Google Sheet examples until original source license is checked.",2026-06-02
software-engineering,uml,OMG UML 2.5.1,https://www.omg.org/spec/UML,L1 normative-baseline,final compliance baseline,"official UML specification; use UML/2.5.1/PDF for use case, class, activity, state, sequence, component and deployment notation",OMG specification page and PDF; use terms to verify,verified-metadata,"Final authority for UML notation; L2/L3 examples cannot override it.","Screenshots require official PDF, version, chapter, page, figure number and figure title.",2026-06-02
